CODIGO , CICLO    , ASIGNATURA                                        , Horas Teorica, Hora Practica, Total Horas, CREDITOS, PRERREQUISITO      
SI-684 , 6        , INVESTIGACIÓN DE OPERACIONES                      ,             2,             2,           4,        3, SI-585              
SI-685 , 6        , DISEÑO Y ARQUITECTURA DE SOFTWARE                 ,             2,             4,           6,        4, SI-584              
SI-686 , 6        , PROGRAMACIÓN III                                  ,             2,             4,           6,        4, SI-586              
EG-781 , 7        , PROBLEMAS Y DESAFIOS DEL PERÚ EN UN MUNDO GLOBAL  ,             3,             0,           3,        3, -                   
SI-782 , 7        , SISTEMAS OPERATIVOS II                            ,             2,             4,           6,        4, SI-682              
SI-783 , 7        , BASE DE DATOS II                                  ,             2,             4,           6,        4, SI-683              
SI-784 , 7        , CALIDAD Y PRUEBAS DE SOFTWARE                     ,             2,             2,           4,        3, SI-686              
SI-785 , 7        , GESTIÓN DE PROYECTOS DE TI                        ,             2,             4,           6,        4, SI-684              
SI-786 , 7        , PROGRAMACIÓN WEB I                                ,             2,             4,           6,        4, SI-683              
SI-881 , 8        , INTELIGENCIA ARTIFICIAL                           ,             2,             2,           4,        3, SI-783              
SI-882 , 8        , REDES Y COMUNICACIÓN DE DATOS I                   ,             2,             2,           4,        3, SI-782              
SI-883 , 8        , SOLUCIONES MÓVILES I                              ,             2,             4,           6,        4, SI-786              
SI-884 , 8        , ESTADÍSTICA INFERENCIAL Y ANÁLISIS DE DATOS       ,             2,             2,           4,        3, SI-783              
SI-885 , 8        , INTELIGENCIA DE NEGOCIOS                          ,             2,             4,           6,        4, SI-783              
SI-886 , 8        , PLANEAMIENTO ESTRATÉGICO DE TI                    ,             2,             2,           4,        3, SI-785              
SI-981 , 9        , TALLER DE TESIS I                                 ,             3,             0,           3,        3, SI-884              
SI-982 , 9        , PROGRAMACIÓN WEB II                               ,             2,             4,           6,        4, SI-883              
SI-983 , 9        , CONSTRUCCIÓN DE SOFTWARE I                        ,             2,             4,           6,        4, SI-883              
SI-984 , 9        , REDES Y COMUNICACIÓN DE DATOS II                  ,             2,             2,           4,        3, SI-882              
SI-985 , 9        , GESTIÓN DE LA CONFIGURACIÓN DE SOFTWARE           ,             2,             2,           4,        3, SI-885              
SI-986 , 9        , INGLÉS TÉCNICO                                    ,             2,             2,           4,        3, * ingles intermedio 
SI-082 , 10       , SEGURIDAD DE TECNOLOGÍA DE INFORMACIÓN            ,             2,             2,           4,        3, SI-985              
SI-083 , 10       , CONSTRUCCIÓN DE SOFTWARE II                       ,             2,             4,           6,        4, SI-983              
SI-084 , 10       , AUDITORÍA DE SISTEMAS                             ,             2,             2,           4,        3, SI-985              
SI-085 , 10       , TALLER DE EMPRENDIMIENTO Y LIDERAZGO              ,             2,             2,           4,        3, -                   
SI-086 , 10       , GERENCIA DE TECNOLOGÍAS DE INFORMACIÓN            ,             2,             2,           4,        3, SI-983              
SI-080 , 10       , TALLER DE TESIS II / TRABAJO DE INVESTIGACIÓN     ,             3,             0,           3,        3, SI-981              
SI-8810, ELECTIVOS, SISTEMAS DE RECURSOS EMPRESARIALES                ,             2,             2,           4,        3, SI-685              
SI-8811, ELECTIVOS, TÓPICOS DE BASE DE DATOS AVANZADOS I              ,             2,             2,           4,        3, SI-783              
SI-887 , ELECTIVOS, INTERNET DE LAS COSAS                             ,             2,             2,           4,        3, SI-782              
SI-888 , ELECTIVOS, DISEÑO Y CREACIÓN DE VIDEOJUEGOS                  ,             2,             2,           4,        3, SI-686              
SI-889 , ELECTIVOS, PATRONES DE SOFTWARE                              ,             2,             2,           4,        3, SI-685              
SI-987 , ELECTIVOS, CLOUD COMPUTING                                   ,             2,             2,           4,        3, SI-783              
SI-988 , ELECTIVOS, SOLUCIONES MÓVILES II                             ,             2,             2,           4,        3, SI-883              
SI-989 , ELECTIVOS, MACHINE LEARNING                                  ,             2,             2,           4,        3, SI-881              
SI-087 , ELECTIVOS, INFRAESTRUCTURA DE TI                             ,             2,             2,           4,        3, SI-984              
SI-088 , ELECTIVOS, MODELO DE NEGOCIOS DIGITALES                      ,             2,             2,           4,        3, SI-786              
SI-089 , ELECTIVOS, TÓPICOS DE BASE DE DATOS AVANZADOS II             ,             2,             2,           4,        3, SI-885              
